ID,LanguageName,Language,Latitude,Longitude,Family,Concept,Segments,ConceptB,SegmentsB,Colexification
2320,Abkhaz,abkh1244,43.06,41.16,Abkhaz-Adyge,BITTER,"ɑ ʂ ɑ",SOUR,"ɑ tsʼ ə tsʼ ə ɨ",0
2321,Abkhaz,abkh1244,43.06,41.16,Abkhaz-Adyge,BITTER,"ɑ ʂ ɑ",SWEET,"ɑ z l ɑ",0
2322,Abkhaz,abkh1244,43.06,41.16,Abkhaz-Adyge,SOUR,"ɑ tsʼ ə tsʼ ə ɨ",SWEET,"ɑ z l ɑ",0
2352,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,BITTER,"m a k a l i",SALTY,"a l e s i ŋ",0
2353,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,BITTER,"m a k a l i",SOUR,"a l e s i ŋ",0
2354,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,BITTER,"m a k a l i",SWEET,"r a l o ŋ",0
2356,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,SALTY,"a l e s i ŋ",SOUR,"a l e s i ŋ",1
2357,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,SALTY,"a l e s i ŋ",SWEET,"r a l o ŋ",0
2355,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,SOUR,"a l e s i ŋ",SWEET,"r a l o ŋ",0
867,Abun,abun1252,-0.57073,132.416,,BITTER,"n d o",SALTY,"b o k",0
1938,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,BITTER,"x ɔ ³¹",SALTY,"x ɔ ³¹",1
1939,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,BITTER,"x ɔ ³¹",SOUR,"m ʐ ə k ⁵⁵",0
1940,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,BITTER,"x ɔ ³¹",SWEET,"w a i ³¹",0
1941,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,SALTY,"x ɔ ³¹",SOUR,"m ʐ ə k ⁵⁵",0
1942,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,SALTY,"x ɔ ³¹",SWEET,"w a i ³¹",0
1937,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,SOUR,"m ʐ ə k ⁵⁵",SWEET,"w a i ³¹",0
868,Achumawi,achu1247,41.0979,-121.191,Palaihnihan,BITTER,"dʒ u m i j o̞ː s i",SALTY,"t iː s",0
869,Achumawi,achu1247,41.0979,-121.191,Palaihnihan,BITTER,"dʒ u m i j o̞ː s i",SOUR,"i dʒ a j ʔ i",0
870,Achumawi,achu1247,41.0979,-121.191,Palaihnihan,BITTER,"dʒ u m i j o̞ː s i",SWEET,"t u s i t u s i",0
871,Achumawi,achu1247,41.0979,-121.191,Palaihnihan,SALTY,"t iː s",SOUR,"i dʒ a j ʔ i",0
872,Achumawi,achu1247,41.0979,-121.191,Palaihnihan,SALTY,"t iː s",SWEET,"t u s i t u s i",0
873,Achumawi,achu1247,41.0979,-121.191,Palaihnihan,SOUR,"i dʒ a j ʔ i",SWEET,"t u s i t u s i",0
2383,Adang,adan1251,-8.18958,124.448,Timor-Alor-Pantar,BITTER,"m a ʔ a l a ʔ",SWEET,"d ɛ l ɛ w ɛ ŋ",0
2384,Adang,adan1251,-8.18958,124.448,Timor-Alor-Pantar,BITTER,"m a ʔ a l a ʔ",SWEET,"m a n ɛ m ɛ ʔ",0
874,Adyghe,adyg1241,44.65,40.0,Abkhaz-Adyge,BITTER,"d ə dʒ ə",SOUR,"x aː f a",0
875,Adyghe,adyg1241,44.65,40.0,Abkhaz-Adyge,BITTER,"d ə dʒ ə",SWEET,"a ʃʼʷ",0
876,Adyghe,adyg1241,44.65,40.0,Abkhaz-Adyge,SOUR,"x aː f a",SWEET,"a ʃʼʷ",0
877,Aguaruna,agua1253,-5.30044,-77.9218,Chicham,BITTER,"j a p a u",SALTY,"j a p a k u",0
878,Aguaruna,agua1253,-5.30044,-77.9218,Chicham,BITTER,"j a p a u",SOUR,"tʃ u h u i n",0
879,Aguaruna,agua1253,-5.30044,-77.9218,Chicham,BITTER,"j a p a u",SWEET,"j u m i n ts a k",0
880,Aguaruna,agua1253,-5.30044,-77.9218,Chicham,SALTY,"j a p a k u",SOUR,"tʃ u h u i n",0
881,Aguaruna,agua1253,-5.30044,-77.9218,Chicham,SALTY,"j a p a k u",SWEET,"j u m i n ts a k",0
882,Aguaruna,agua1253,-5.30044,-77.9218,Chicham,SOUR,"tʃ u h u i n",SWEET,"j u m i n ts a k",0
883,Ahtena,ahte1237,61.7068,-144.889,Athabaskan-Eyak-Tlingit,BITTER,"tsʼ iː tsʰ ʔ",SALTY,"n a tʰ u ʔ",0
884,Ahtena,ahte1237,61.7068,-144.889,Athabaskan-Eyak-Tlingit,BITTER,"tsʼ iː tsʰ ʔ",SWEET,"n e̞ s",0
885,Ahtena,ahte1237,61.7068,-144.889,Athabaskan-Eyak-Tlingit,SALTY,"n a tʰ u ʔ",SWEET,"n e̞ s",0
886,"Hokkaido Ainu",ainu1240,43.63,142.46,Ainu,BITTER,"s i u",SOUR,"s u kː a k e",0
887,"Hokkaido Ainu",ainu1240,43.63,142.46,Ainu,BITTER,"s i u",SWEET,"t o p e n",0
888,"Hokkaido Ainu",ainu1240,43.63,142.46,Ainu,SOUR,"s u kː a k e",SWEET,"t o p e n",0
889,Alabama,alab1237,30.76738,-94.62848,Muskogean,BITTER,"h o m i",SALTY,"h a p i",0
890,Alabama,alab1237,30.76738,-94.62848,Muskogean,BITTER,"h o m i",SOUR,"k a s k a h a",0
891,Alabama,alab1237,30.76738,-94.62848,Muskogean,BITTER,"h o m i",SWEET,"tʃ a m p oː l i",0
892,Alabama,alab1237,30.76738,-94.62848,Muskogean,SALTY,"h a p i",SOUR,"k a s k a h a",0
893,Alabama,alab1237,30.76738,-94.62848,Muskogean,SALTY,"h a p i",SWEET,"tʃ a m p oː l i",0
894,Alabama,alab1237,30.76738,-94.62848,Muskogean,SOUR,"k a s k a h a",SWEET,"tʃ a m p oː l i",0
2469,Alak,alak1253,15.5565,106.597,Austroasiatic,BITTER,"ʔ j a ŋ",SOUR,"ʔ a cʼ u a ʔ",0
2470,Alak,alak1253,15.5565,106.597,Austroasiatic,BITTER,"ʔ j a ŋ",SWEET,"ŋ aː m",0
2471,Alak,alak1253,15.5565,106.597,Austroasiatic,SOUR,"ʔ a cʼ u a ʔ",SWEET,"ŋ aː m",0
895,Alawa,alaw1244,-15.5458,134.282,Mangarrayi-Maran,BITTER,"m b a l g ɪ n",SALTY,"m a ɭ ɯ̞ r ɯ̞ l ɯ̞ r ɯ̞",0
896,Alawa,alaw1244,-15.5458,134.282,Mangarrayi-Maran,BITTER,"m b a l g ɪ n",SOUR,"a j ɯ̞",0
897,Alawa,alaw1244,-15.5458,134.282,Mangarrayi-Maran,BITTER,"m b a l g ɪ n",SWEET,"n j a r b a n j a r b a",0
898,Alawa,alaw1244,-15.5458,134.282,Mangarrayi-Maran,SALTY,"m a ɭ ɯ̞ r ɯ̞ l ɯ̞ r ɯ̞",SOUR,"a j ɯ̞",0
899,Alawa,alaw1244,-15.5458,134.282,Mangarrayi-Maran,SALTY,"m a ɭ ɯ̞ r ɯ̞ l ɯ̞ r ɯ̞",SWEET,"n j a r b a n j a r b a",0
900,Alawa,alaw1244,-15.5458,134.282,Mangarrayi-Maran,SOUR,"a j ɯ̞",SWEET,"n j a r b a n j a r b a",0
2198,"Standard Albanian",alba1267,41.33,19.85,Indo-European,BITTER,"h i ð ʊ ɾ",SOUR,"θ a ɾ t ə",0
2199,"Standard Albanian",alba1267,41.33,19.85,Indo-European,BITTER,"h i ð ʊ ɾ",SWEET,"ɛ m b ə l",0
